CH1	CH2	
mV	mV	
2.828395015445974e-11	8.414766137986579e-13
4.435927668014662e-07	6.152417132407588e-07
3.872762790352365e-06	4.944684585983114e-06
1.702859250920148e-05	1.989959737559258e-05
5.060078634934267e-05	5.436871571730326e-05
0.0001149197668805192	0.0001145416971415362
0.0002137346550418739	0.0001990850448461296
0.0003400458229418919	0.0002974065760051208
0.0004766412372867589	0.0003929768406542288
0.0006017105909782469	0.0004697956006334581
0.000696972287605561	0.0005180005937185135
0.000754416421063939	0.0005373000062760454
0.000778752981324922	0.000538891244737583
0.0007838184825373463	0.0005432044698013879
0.0007838205339806382	0.0005671654471231496
0.0007853780711471439	0.000608525662689512
0.0007876084340392138	0.0006502465115791217
0.000788500695099256	0.0006787106889602151
0.0007885196944463753	0.0006919459664986225
0.0007886206710957077	0.0006955675853530966
0.0007886222607721185	0.0006958239509957934
0.0007904765032690549	0.0006959608374864561
0.0008021930970093859	0.000696466235497256
0.0008344868793594561	0.0006968293369555814
0.0008906148617089639	0.000696857075118814
0.0009608782860598341	0.0006970717409903236
0.001028743958867905	0.0006983961214122085
0.001081544762575004	0.0007016935124486731
0.001116171841673511	0.0007076551351812786
0.00113736974412507	0.000716469171494997
0.001152594457230023	0.0007271441599183537
0.001168974914389498	0.0007374724320647316
0.00119359762424118	0.0007448496621093719
0.001232469348423953	0.000747884417183891
0.001285828021299432	0.0007480619335381235
0.001345142728963173	0.000748916937786976
0.001397151553264757	0.0007525662918008798
0.00143237319586783	0.00075772742777806
0.001450332581851811	0.0007615841103392404
0.001457199936024407	0.0007628156367680876
0.001459511072706537	0.0007628262712499907
0.001460794199670836	0.0007649795681042834
0.001462632260593975	0.0007725191823395532
0.001466130804032921	0.000785995629913085
0.00147138870182333	0.0008021686780091084
0.001476789148496956	0.0008163241073102988
0.001480175280812294	0.0008259578686851868
0.001481017434250099	0.0008316899497351736
0.001481058325349736	0.000835384299621844
0.00148244764102123	0.0008385963985991052
0.001485246440733331	0.0008423824644415731
0.001487465564354658	0.0008473077133247926
0.001487920179308179	0.0008530685611888525
0.001488180626739283	0.000858516230011756
0.00149102230780625	0.0008625709631700519
0.001497119516061245	0.0008649924959743409
0.001503788736357249	0.0008661912979507552
0.001507599067180447	0.000866645688317979
0.00150817576299657	0.000866701804090199
3.298043961852398e-05	1.222708815947621e-05
9.738058957216581e-05	4.060055480330269e-05
0.0001521898954677244	7.754690850807448e-05
0.0001862217648503074	0.0001171644692739177
0.0002012377474425785	0.0001524987469911791
0.0002064028855407468	0.0001781966045789678
0.0002097649817520071	0.0001924511312239187
0.0002193888384447148	0.0001975833755542835
0.0002544858372446415	0.0001983873720482857
0.0003374637089175691	0.0001984054817013312
0.0004656625624171996	0.000198543496655073
